District,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),Crop,Water Consumption (liters/hectare),Water Availability (liters/hectare),Soil & Irrigation
Ajmer,8.971524168,2.36224553,41.8464365,26.97717041,41.20901036,Pulses,6936.134039,7739.350476,Saline-Drip Irrigation
Kota,7.601617977,1.771183375,30.9284429,27.54565507,43.02803116,Cumin,9033.17584,9957.40999,Loamy-Tube Well
Alwar,7.525830488,2.114537344,35.37159006,21.12169828,44.52008777,Fenugreek,7104.261819,6868.676063,Saline-Sprinkler Irrigation
Jodhpur,7.223869374,1.451428175,41.45955633,29.33731002,34.1896709,Pulses,14574.80399,13996.50434,Alkaline-Canal Irrigation
Jodhpur,7.799498171,2.426674489,27.52904988,21.41922284,44.81251296,Sugarcane,9707.72086,10316.28241,Alkaline-Drip Irrigation
Jodhpur,6.828936126,1.317087922,29.25515345,22.51392213,48.98180411,Barley,10110.53999,10754.21731,Black lava soil-Sprinkler Irrigation
Bhilwara,7.516951362,1.404796132,34.6298755,19.5446207,39.11202003,Onion,9196.046017,10041.3921,Alkaline-Sprinkler Irrigation
Sri Ganganagar,7.088572049,1.480389918,34.08990772,21.98183478,40.84873884,Mustard,7011.556634,6140.081509,Loamy-Tube Well
Sri Ganganagar,8.54970376,1.979375936,40.79560577,20.45657364,38.09772048,Guava,12361.20041,11830.26611,Sandy-Sprinkler Irrigation
Bhilwara,8.058340638,2.116047319,32.49441597,18.28925674,40.97538463,Fenugreek,7887.416531,8512.979025,Sandy-Drip Irrigation
Alwar,7.657222295,1.820520807,33.64886469,15.34499144,40.21515487,Pomegranate,9461.263911,8838.910415,Chalky (Calcareous)-Drip Irrigation
Udaipur,7.403195244,2.372293199,33.20973565,18.64866198,41.08859101,Chilli,12572.91885,12309.27993,Loamy-Tube Well
Kota,7.657064748,1.841958519,31.57169342,22.19575067,44.16589716,Onion,7674.505236,6978.803847,Nitrogenous-Sprinkler Irrigation
Jaipur,6.475242742,2.186766842,37.27717242,17.04490772,42.20029965,Fennel,12094.26981,12418.71668,Loamy-Drip Irrigation
Jodhpur,7.740304297,2.723281646,27.70070369,17.85182511,33.49445367,Mango,13618.18692,13868.92024,Black lava soil-Drip Irrigation
Nagaur,7.853795911,2.589126424,32.04067956,13.12182956,37.63177271,Oilseeds,14503.63867,15417.83243,Clay-Sprinkler Irrigation
Sri Ganganagar,7.058000572,2.066248572,28.09255293,13.39753278,41.68741037,Mango,14067.41624,14161.72869,Saline-Drip Irrigation
Bhilwara,6.66276527,1.94548829,30.17187655,20.80294717,46.81066202,Fenugreek,14834.22867,14599.49464,Loamy-Drip Irrigation
Udaipur,8.126141831,2.080649771,33.22061884,20.40994407,31.23811452,Tomato,5741.696897,6162.208047,Saline-Sprinkler Irrigation
Ajmer,7.315340615,1.210281851,25.91054079,21.95604664,42.90890885,Pomegranate,9969.341014,10746.75887,Black lava soil-Sprinkler Irrigation
Alwar,8.257722404,2.190867084,28.13315787,17.49901091,39.15073821,Guava,13202.48578,12510.03672,Nitrogenous-Drip Irrigation
Kota,6.805350635,1.902150734,35.3004487,19.74238536,42.51545184,Cumin,15088.2259,16048.32005,Alkaline-Drip Irrigation
Jaipur,7.110952607,2.585905072,37.49048817,15.91922505,32.72472697,Tomato,11319.77653,12068.1746,Chalky (Calcareous)-Tube Well
Udaipur,7.09505495,2.709517806,31.46676018,23.64909681,46.95960444,Onion,15110.09188,15990.66185,Chalky (Calcareous)-Tube Well
Ajmer,6.641983376,3.35539715,29.68127357,15.61257989,32.96456403,Pulses,5526.651109,6249.961364,Saline-Sprinkler Irrigation
Kota,6.857000147,1.455794382,42.8025148,28.75462971,39.84240743,Cotton,14597.9726,14964.18722,Black lava soil-Sprinkler Irrigation
Bhilwara,8.362846896,2.060922232,33.76708737,20.49913158,36.66333309,Pomegranate,12134.46143,12846.00772,Clay-Canal Irrigation
Udaipur,7.356046962,2.122519332,28.65024052,12.28274528,47.97088978,Pomegranate,6573.986173,7533.5584,Nitrogenous-Canal Irrigation
Bhilwara,7.183559863,2.094664154,31.48622137,14.05383767,45.26992886,Chilli,14638.50661,15448.41821,Nitrogenous-Drip Irrigation
Ajmer,7.542263492,2.455107892,29.08235914,13.95400644,40.28370842,Maize,6188.138355,6255.226089,Chalky (Calcareous)-Tube Well
Ajmer,6.813082588,2.689234814,30.57912294,21.94802262,28.89789496,Garlic,15569.29897,16525.34409,Nitrogenous-Drip Irrigation
Ajmer,7.274873306,1.62199799,31.11963437,10.26737357,34.41036196,Guava,11797.2714,12493.23508,Saline-Drip Irrigation
Nagaur,7.494566431,2.06867624,44.59086778,19.07927092,34.34910635,Wheat,12379.83859,13308.36619,Alkaline-Sprinkler Irrigation
Udaipur,6.628526235,1.696215604,37.84091215,27.23898209,44.69320011,Fenugreek,10413.52151,9886.285296,Alkaline-Drip Irrigation
Jaipur,7.222491649,1.298815358,40.45547136,19.88781974,39.71024729,Citrus,10164.10537,9699.803108,Chalky (Calcareous)-Canal Irrigation
Alwar,8.527096921,2.07391037,22.9186557,16.78611809,37.70561577,Oilseeds,14257.65671,14629.68053,Saline-Sprinkler Irrigation
Udaipur,6.831637281,1.794088316,30.65963983,17.72726141,38.90673361,Onion,7703.977881,7705.279527,Sandy-Drip Irrigation
Bhilwara,7.514228791,0.96109409,28.39851098,28.21689078,41.80323946,Pulses,12812.4188,12361.25589,Loamy-Drip Irrigation
Jaipur,6.756069148,1.437406949,31.94409455,14.13063337,45.56317153,Coriander,13433.46699,13021.83248,Saline-Sprinkler Irrigation
Jaipur,7.534668581,2.431271742,21.52513281,24.10116199,44.08653102,Coriander,11504.13208,11728.23171,Saline-Sprinkler Irrigation
Hanumangarh,7.477372849,1.383449347,36.95486179,13.22014828,39.02107365,Tomato,8876.717234,8225.815106,Saline-Tube Well
Jodhpur,7.568373324,0.847894032,28.19495388,33.51513782,38.84669167,Citrus,9031.82612,8450.692002,Nitrogenous-Tube Well
Kota,7.956885811,1.227135107,37.94919489,22.8703561,46.99797323,Fennel,15163.94978,15951.11471,Chalky (Calcareous)-Tube Well
Bhilwara,7.184770773,2.818541204,26.09928059,23.67634655,37.20418082,Wheat,11803.36192,10969.82763,Chalky (Calcareous)-Tube Well
Bhilwara,6.984487362,2.411175235,25.81509823,22.7598213,38.27950986,Onion,16516.89643,16182.34086,Alkaline-Tube Well
Nagaur,6.792366404,2.109267021,35.04735894,15.77529281,32.5049202,Oilseeds,12962.27562,12468.9471,Nitrogenous-Drip Irrigation
Hanumangarh,8.127259351,2.400350974,40.29922501,22.79361918,39.21761312,Citrus,11115.22463,12041.85531,Chalky (Calcareous)-Tube Well
Ajmer,6.728598391,1.91968444,27.57913024,15.1687684,39.12310772,Mustard,13273.22115,12619.02613,Clay-Canal Irrigation
Nagaur,7.562950694,2.425562049,36.11927959,21.68977777,37.03879578,Pulses,15740.43146,16343.54738,Sandy-Sprinkler Irrigation
Jodhpur,7.273181806,2.863113273,25.56335271,23.85898089,41.78126394,Barley,9033.817676,8986.28156,Saline-Sprinkler Irrigation
Nagaur,7.829765735,2.8832559,35.19303035,20.46579169,37.44505415,Gram,13044.74172,12915.05919,Nitrogenous-Drip Irrigation
Sri Ganganagar,7.375692073,2.313306819,30.22781941,23.11703569,43.51720067,Onion,14354.60731,13387.44388,Nitrogenous-Tube Well
Ajmer,7.804940024,1.980036768,33.97461557,26.74567553,45.29085047,Pulses,12439.31257,12332.50233,Alkaline-Drip Irrigation
Nagaur,7.222356949,2.213981313,38.61537359,28.19628258,30.38614114,Cotton,8243.694955,8000.731989,Nitrogenous-Sprinkler Irrigation
Alwar,7.491888441,2.578416891,31.98698512,16.26272173,38.59748973,Mustard,8662.430473,7879.707185,Loamy-Tube Well
Bhilwara,7.639174317,1.745393319,25.7682014,17.07546173,37.60620714,Onion,16143.44067,15430.88403,Nitrogenous-Sprinkler Irrigation
Udaipur,7.00606333,1.576574517,36.24809453,23.89674502,39.8049024,Fennel,5720.462586,6009.612379,Black lava soil-Drip Irrigation
Nagaur,7.562950694,2.425562049,36.11927959,21.68977777,37.03879578,Pulses,15740.43146,16343.54738,Sandy-Sprinkler Irrigation
Kota,7.749547908,1.153864584,29.14807117,15.93588205,44.14029407,Barley,10002.79758,10673.14744,Nitrogenous-Sprinkler Irrigation
Jaipur,7.336883148,1.327332256,28.59417979,22.52668574,42.63919675,Wheat,7021.777144,6754.597332,Saline-Drip Irrigation
Kota,7.123782381,1.266607405,27.49298927,24.87656229,42.57814044,Opium,12018.70282,11643.58412,Nitrogenous-Tube Well
Nagaur,8.208205896,2.386619993,29.21081245,21.54146032,36.99807154,Gram,10252.36347,9586.456069,Saline-Drip Irrigation
Hanumangarh,7.096811535,2.03784747,33.42794873,19.29175707,45.83185273,Cotton,14058.35972,13953.3593,Clay-Canal Irrigation
Jodhpur,7.653701785,1.587693875,31.38300383,25.97740325,37.01685471,Guava,10200.74328,11027.45097,Sandy-Drip Irrigation
Ajmer,6.515538429,2.051719065,40.2103802,21.38679231,39.8886051,Citrus,9142.72145,8469.26044,Alkaline-Tube Well
Nagaur,8.382456903,3.396104434,30.45584073,23.9410207,31.09687164,Oilseeds,12487.54017,11780.39695,Loamy-Canal Irrigation
Hanumangarh,8.318369981,1.908349645,29.90102828,17.58843215,45.49491679,Sugarcane,6660.721628,7404.319599,Clay-Canal Irrigation
Nagaur,7.427560719,2.021520435,35.11420736,19.04776907,37.12958711,Fenugreek,5438.249894,5447.33389,Saline-Drip Irrigation
Bhilwara,7.569826845,2.036668372,34.84384948,24.83589061,42.46988691,Cotton,8182.760003,8027.832702,Sandy-Tube Well
Jodhpur,7.704026423,2.275398786,32.22386904,15.87173159,40.74681741,Garlic,10458.5215,10165.59735,Saline-Sprinkler Irrigation
Udaipur,7.258170681,1.876637788,29.15790144,23.01822869,46.87305634,Bajra,11489.44244,11979.86513,Black lava soil-Canal Irrigation
Sri Ganganagar,8.155302956,2.585550986,23.71717332,26.44601526,38.40920749,Bajra,14424.59463,15127.51233,Nitrogenous-Tube Well
Alwar,7.516859527,2.134296791,24.42588906,25.98455474,37.01552608,Barley,7262.32941,7523.14917,Alkaline-Canal Irrigation
Jaipur,7.464439855,2.042797352,28.60813516,23.86423919,43.91579944,Bajra,13314.37491,13218.53505,Clay-Sprinkler Irrigation
Sri Ganganagar,6.848577618,2.226033919,28.22012958,20.14595252,43.48987015,Opium,8467.326204,7736.302688,Loamy-Sprinkler Irrigation
Kota,7.636505359,0.962679981,29.54021609,20.08012641,43.97300191,Tomato,9035.197687,8186.974572,Black lava soil-Sprinkler Irrigation
Udaipur,8.209265673,0.756095672,36.38482693,21.69011741,33.96489176,Coriander,10012.45334,9440.309608,Chalky (Calcareous)-Sprinkler Irrigation
Kota,7.348557378,2.673049897,29.03347887,27.35792541,39.89071626,Garlic,12398.89445,12948.6353,Clay-Drip Irrigation
Kota,6.74051511,2.252290907,33.13269182,13.80218857,32.48564696,Gram,9289.883923,9468.516256,Saline-Tube Well
Jaipur,6.807006029,2.252794621,37.44556554,31.35724873,37.97801288,Wheat,7489.464053,8236.964475,Loamy-Canal Irrigation
Jodhpur,7.013617742,2.203311017,29.13685433,23.1933857,39.6821323,Garlic,7955.823722,7050.886444,Saline-Sprinkler Irrigation
Udaipur,7.578563959,2.088094911,26.66575642,20.98958334,36.96263856,Citrus,13588.23035,14184.6768,Black lava soil-Canal Irrigation
Udaipur,7.893203106,1.720226857,15.83484855,26.79594747,43.8025306,Fenugreek,10597.7425,11277.36345,Black lava soil-Drip Irrigation
Kota,7.392106437,1.411119271,37.34892129,16.88864889,30.79866808,Chilli,10096.85948,9846.919244,Clay-Drip Irrigation
Jaipur,6.223225202,1.915807539,28.36993752,21.95183097,39.23047387,Citrus,11982.04181,12353.04092,Sandy-Drip Irrigation
Kota,6.923333798,1.156327826,21.03053751,13.22276248,36.45489521,Cumin,11583.42253,11166.92894,Clay-Drip Irrigation
Bhilwara,8.095545342,1.926573239,18.90111026,13.00159248,38.75315187,Tomato,6389.384383,6845.112695,Black lava soil-Tube Well
Sri Ganganagar,7.389231701,1.411518944,39.10271954,17.16802704,44.15808393,Cotton,10527.8131,10511.25667,Nitrogenous-Sprinkler Irrigation
Jodhpur,7.909869859,1.902263678,31.48613611,28.33628421,29.38003591,Tomato,7868.457709,6986.421839,Alkaline-Sprinkler Irrigation
Jaipur,7.550395536,2.020643728,35.18579449,21.67219257,47.39035949,Cotton,7114.826905,7868.924371,Sandy-Tube Well
Alwar,7.977042551,2.609240107,41.01006962,18.21953976,40.5478579,Bajra,6214.929226,6289.796212,Loamy-Canal Irrigation
Sri Ganganagar,7.609329653,1.776839742,28.99680351,21.83755205,45.20215446,Barley,7141.194633,7053.047708,Clay-Sprinkler Irrigation
Ajmer,7.420847261,1.908073053,25.77163448,19.92950517,39.68675889,Cotton,8574.32837,9167.554313,Saline-Drip Irrigation
Jodhpur,7.918577243,1.839420481,22.07187147,25.70033923,35.81454933,Coriander,9052.480195,9852.96903,Alkaline-Tube Well
Bhilwara,8.362846896,2.060922232,33.76708737,20.49913158,36.66333309,Pomegranate,12134.46143,12846.00772,Clay-Canal Irrigation
Jaipur,8.094298412,2.924681071,34.21552666,25.81419289,37.09991834,Fennel,6547.55675,7484.439552,Clay-Canal Irrigation
Ajmer,7.65656607,2.343532898,37.3327043,14.44209875,39.82087211,Onion,8254.397481,7738.510517,Sandy-Sprinkler Irrigation
Kota,7.02712697,2.304123096,23.4143404,23.88013957,34.98891491,Bajra,13627.38375,14092.26588,Sandy-Canal Irrigation
Hanumangarh,7.757647161,1.582859095,40.92048367,22.85253604,37.09675849,Gram,12684.69187,12287.39329,Black lava soil-Canal Irrigation
Udaipur,6.475029361,2.579537032,28.31872631,22.12744967,45.98623462,Maize,14175.39301,14457.0701,Black lava soil-Sprinkler Irrigation
Bhilwara,7.206071848,2.115305424,24.33289491,21.74961858,35.52322813,Pomegranate,12193.86909,11979.82023,Loamy-Drip Irrigation
Jodhpur,7.409248419,0.911467477,30.89238332,27.14428854,32.62933934,Cotton,10648.63544,11361.25292,Sandy-Sprinkler Irrigation
Nagaur,8.199743213,1.685672847,28.61243191,14.81845376,38.98269429,Sugarcane,16502.99341,16317.00712,Alkaline-Drip Irrigation
Ajmer,7.349767026,1.497199312,31.80082092,17.31177121,43.27701915,Onion,10936.18871,11014.58313,Clay-Drip Irrigation
Nagaur,7.026053641,1.582838477,33.82014891,12.28599242,36.83622485,Citrus,8226.8289,8075.078269,Alkaline-Sprinkler Irrigation
Sri Ganganagar,7.405898781,1.948206573,28.93062416,24.85158101,42.0937998,Fennel,17852.60968,18489.17127,Saline-Tube Well
Ajmer,8.683707182,1.811117556,23.5452889,17.96512817,40.07002484,Bajra,13707.24851,13088.40604,Sandy-Tube Well
Nagaur,6.855259706,2.02922474,34.56310161,22.10858467,39.70172844,Wheat,10243.22079,10833.55014,Sandy-Tube Well
Jodhpur,8.104615324,1.987856752,38.19480264,24.54011331,36.46280228,Mango,7857.810877,7147.025625,Nitrogenous-Sprinkler Irrigation
Udaipur,7.340881236,1.609421811,28.7009993,27.99269056,44.01064229,Cotton,14868.03934,15476.04501,Saline-Sprinkler Irrigation
Udaipur,8.889981812,1.481004323,23.23122663,23.67238373,29.61440073,Tomato,6772.560136,6623.944401,Alkaline-Drip Irrigation
Jodhpur,7.667527176,2.282394553,28.93955165,22.71101503,38.31061112,Cumin,15406.77623,15024.77302,Loamy-Sprinkler Irrigation
Jaipur,7.230619581,1.872526515,31.28085303,25.96655503,36.14129593,Gram,5332.45263,5185.384121,Loamy-Tube Well
Alwar,7.572760599,1.692938717,30.7049135,27.94313464,43.47701237,Mango,5186.493863,5013.657968,Black lava soil-Drip Irrigation
Kota,7.196322783,1.961389477,32.12921829,22.09102878,31.11994123,Onion,9389.109535,10225.14769,Sandy-Drip Irrigation
Udaipur,7.455382923,1.981214678,21.34399348,27.47469114,40.20662816,Fenugreek,11920.79824,11814.65847,Sandy-Tube Well
Alwar,7.098864083,1.747683129,25.98444583,16.34071346,53.60956074,Fennel,9864.564863,9311.178159,Nitrogenous-Sprinkler Irrigation
Sri Ganganagar,7.796283637,0.647804184,26.85057724,17.55863079,43.16663413,Cotton,8707.160736,8720.53999,Black lava soil-Drip Irrigation
Jodhpur,6.603446774,1.808591405,29.38135527,18.01160153,34.07984721,Bajra,8773.893688,7965.001126,Clay-Sprinkler Irrigation
Kota,7.337194474,1.917832397,31.06046677,15.0332065,34.92060587,Coriander,12121.21302,11691.70618,Black lava soil-Sprinkler Irrigation
Jodhpur,6.853246187,1.652152561,25.40936508,26.19792003,38.01885161,Onion,10952.76011,11134.34191,Saline-Tube Well
Ajmer,7.904556395,1.575139539,27.58508037,22.65341562,36.68281921,Cotton,9473.580498,9582.590408,Chalky (Calcareous)-Sprinkler Irrigation
Jaipur,7.288120159,1.773292946,21.02178414,18.34954904,43.66414541,Maize,15820.68531,14899.18855,Saline-Tube Well
Jaipur,8.019189426,1.240326962,15.83922201,17.74420571,42.758704,Maize,13263.15776,13502.29087,Clay-Drip Irrigation
Jaipur,7.15029273,2.080849263,30.51429289,20.74670956,32.94471584,Pulses,8740.542057,8323.548564,Alkaline-Sprinkler Irrigation
Nagaur,7.142659662,2.260639953,31.60839271,20.84029903,35.02425759,Wheat,12097.0136,11350.65627,Chalky (Calcareous)-Canal Irrigation
Bhilwara,7.679840424,2.593538839,25.17605131,17.92684746,36.37848733,Mango,7151.9936,6520.482624,Chalky (Calcareous)-Tube Well
Nagaur,7.016649055,1.601967931,30.51458695,8.42977967,48.36720943,Tomato,15011.75612,16011.39834,Nitrogenous-Canal Irrigation
Kota,7.024407815,1.82908909,24.9653632,20.2391266,37.1790191,Opium,7811.48675,8738.673825,Nitrogenous-Sprinkler Irrigation
Jaipur,7.697899424,2.131775406,36.42047897,7.868039647,28.06535065,Onion,9916.312266,9189.075187,Nitrogenous-Sprinkler Irrigation
Sri Ganganagar,7.947116387,1.616838738,28.67727051,21.82879993,30.292161,Fennel,7090.404122,7603.524009,Loamy-Canal Irrigation
Jaipur,6.817947003,1.734061125,32.50458665,15.08837864,48.02677981,Oilseeds,14206.98257,13444.51469,Clay-Canal Irrigation
Udaipur,8.095949667,2.475007914,31.21502361,12.3364972,39.01859674,Tomato,7527.310611,7131.947208,Clay-Canal Irrigation
Alwar,7.148041837,1.472647773,29.66384846,19.58703712,43.84984366,Barley,14299.11922,13684.144,Black lava soil-Canal Irrigation
Nagaur,7.297819004,1.656860432,22.83664355,20.72918235,42.92649718,Sugarcane,10726.44336,11310.92479,Sandy-Tube Well
Kota,8.275622633,2.441143246,26.19206067,18.46993023,40.72713609,Barley,7608.361869,7927.147091,Saline-Drip Irrigation
Ajmer,7.974071475,1.847022784,23.81760857,26.37220114,39.52329454,Fennel,8385.900627,8458.110409,Alkaline-Canal Irrigation
Jodhpur,6.752981103,2.627572894,27.51163738,13.65931598,39.15870433,Onion,10307.85325,11285.49042,Saline-Drip Irrigation
Udaipur,7.289400592,2.488215689,24.3392543,14.50541873,43.43713378,Bajra,13263.7736,13514.24671,Alkaline-Drip Irrigation
Udaipur,7.403195244,2.372293199,33.20973565,18.64866198,41.08859101,Chilli,12572.91885,12309.27993,Loamy-Tube Well
Ajmer,8.971524168,2.36224553,41.8464365,26.97717041,41.20901036,Pulses,6936.134039,7739.350476,Saline-Drip Irrigation
Kota,7.636505359,0.962679981,29.54021609,20.08012641,43.97300191,Tomato,9035.197687,8186.974572,Black lava soil-Sprinkler Irrigation
Kota,7.158182859,1.863135374,29.92864824,20.74798979,40.48913587,Chilli,6211.360931,5374.176335,Saline-Tube Well
Alwar,7.579046949,2.016721734,29.5905281,24.95595556,43.73722486,Oilseeds,10271.70642,9876.14555,Alkaline-Tube Well
Nagaur,7.835765586,2.76401568,34.43751984,23.80423327,40.30042997,Maize,9778.388589,10363.86693,Saline-Tube Well
Ajmer,7.345175143,2.573013788,15.81246779,19.91694829,39.47090621,Coriander,10478.28625,9718.240474,Black lava soil-Drip Irrigation
Nagaur,7.038905547,1.522690949,32.59109475,17.46905469,39.10242713,Citrus,6404.663278,7170.109522,Black lava soil-Drip Irrigation
Hanumangarh,7.788536092,1.910988355,30.77577671,18.00858483,40.58794315,Oilseeds,7516.005473,7027.114524,Alkaline-Canal Irrigation
Kota,7.483976253,2.016762351,18.9120446,14.15911086,34.5156246,Bajra,14997.40128,15147.21472,Loamy-Tube Well
Jodhpur,7.458642488,2.121545864,34.75653122,22.63448962,39.0456389,Gram,11188.69268,11787.04313,Nitrogenous-Drip Irrigation
Bhilwara,6.939616175,1.971301268,29.74599606,20.8032497,43.31131491,Tomato,12570.32903,12196.4787,Nitrogenous-Canal Irrigation
Bhilwara,6.655408481,1.76436813,20.12256114,23.75549727,29.67458477,Garlic,11735.78923,11722.72282,Alkaline-Drip Irrigation
Sri Ganganagar,6.950480388,2.898332601,25.7325226,16.65281543,35.10846025,Chilli,13068.75575,12961.13385,Clay-Sprinkler Irrigation
Sri Ganganagar,7.389990986,1.936296564,30.51322764,18.51101922,43.16612655,Pomegranate,9191.00865,9016.654274,Clay-Drip Irrigation
Nagaur,7.922227936,2.550868931,32.45996743,11.96871606,41.97478985,Coriander,13279.31541,12914.88729,Loamy-Drip Irrigation
Bhilwara,6.966983914,1.974228896,39.56002735,25.82030076,46.74589524,Opium,5841.960732,6810.487808,Nitrogenous-Sprinkler Irrigation
Sri Ganganagar,8.141397484,2.039003709,23.46111717,18.27447952,40.22031284,Pomegranate,9672.984588,9032.140808,Chalky (Calcareous)-Sprinkler Irrigation
Ajmer,7.093727115,3.052648715,30.17443974,13.12244555,46.84039675,Citrus,10211.16193,9503.047637,Loamy-Sprinkler Irrigation
Jodhpur,7.387253288,2.147755846,27.20602091,18.43964034,38.31092453,Wheat,8293.472954,8133.959009,Clay-Tube Well
Sri Ganganagar,8.48617224,2.232125619,33.0456776,22.86222653,41.98523335,Fennel,8943.452446,9628.731394,Clay-Tube Well
Nagaur,7.142659662,2.260639953,31.60839271,20.84029903,35.02425759,Wheat,12097.0136,11350.65627,Chalky (Calcareous)-Canal Irrigation
Hanumangarh,7.381775582,1.940190188,24.48407809,24.10276751,40.92154532,Oilseeds,13466.50169,13436.62449,Loamy-Sprinkler Irrigation
Jaipur,8.094298412,2.924681071,34.21552666,25.81419289,37.09991834,Fennel,6547.55675,7484.439552,Clay-Canal Irrigation
Kota,7.983897235,2.199496079,35.25024521,21.62329118,40.71495317,Cotton,7012.390638,7540.915289,Nitrogenous-Tube Well
Ajmer,6.458950648,2.276574578,27.25899851,29.61722897,36.12692515,Wheat,8806.521619,8075.985966,Black lava soil-Tube Well
Alwar,7.51878743,1.842654586,30.64684003,8.096304472,30.85159092,Cotton,14429.67211,14362.84557,Clay-Drip Irrigation
Kota,7.956885811,1.227135107,37.94919489,22.8703561,46.99797323,Fennel,15163.94978,15951.11471,Chalky (Calcareous)-Tube Well
Jaipur,7.490063182,1.946367617,36.10141448,14.61660436,36.1874038,Garlic,10546.98189,11544.43824,Alkaline-Canal Irrigation
Jaipur,8.749215242,1.885997137,22.96511269,22.01134039,46.60497895,Bajra,8846.00298,7904.286715,Saline-Sprinkler Irrigation
Bhilwara,7.249382946,1.775728582,31.19277477,13.54719289,39.28370542,Opium,6808.763795,5954.602802,Alkaline-Canal Irrigation
Udaipur,8.562385702,2.665669531,39.60183751,13.8855249,40.35626875,Barley,14832.50866,15166.50174,Sandy-Sprinkler Irrigation
Ajmer,7.315340615,1.210281851,25.91054079,21.95604664,42.90890885,Pomegranate,9969.341014,10746.75887,Black lava soil-Sprinkler Irrigation
Bhilwara,8.399240044,2.276452614,25.31703997,25.53115779,41.00349347,Chilli,11143.4988,10342.08728,Chalky (Calcareous)-Tube Well
Jaipur,8.524354129,1.187253865,27.21610614,20.16319418,45.68690549,Opium,6712.993163,6342.602307,Clay-Drip Irrigation
Nagaur,7.617727898,0.155817354,25.96174721,18.04215011,47.52531019,Wheat,10071.73945,10089.21063,Loamy-Canal Irrigation
Kota,7.029298415,2.560483512,34.02787351,24.87911669,40.04428852,Cumin,13079.78237,13578.45199,Chalky (Calcareous)-Sprinkler Irrigation
Nagaur,8.427751657,2.112117372,28.26786747,11.9421632,38.6867024,Cotton,6307.872962,6303.275718,Clay-Tube Well
Jaipur,7.536437049,2.036598496,29.24878506,25.95853749,39.5814102,Bajra,11789.09249,12462.09477,Alkaline-Tube Well
Jodhpur,7.191928271,1.479900645,33.49407835,27.24410054,38.42459036,Fennel,9980.289076,9151.358474,Chalky (Calcareous)-Tube Well
Sri Ganganagar,7.510053233,2.089811136,36.7257381,21.79869488,37.50683052,Fenugreek,8345.467035,8160.031476,Alkaline-Tube Well
Jodhpur,7.846428792,2.291285659,26.00029747,10.45998931,38.03473621,Gram,6869.831373,7745.430446,Black lava soil-Drip Irrigation
Hanumangarh,7.83377404,1.642967441,35.89209659,18.50242481,33.82148489,Pulses,10160.28552,11142.32572,Alkaline-Drip Irrigation
Alwar,6.901016785,2.443539888,31.43387056,19.26397361,42.82421179,Maize,6997.249191,6052.657539,Saline-Drip Irrigation
Sri Ganganagar,7.088572049,1.480389918,34.08990772,21.98183478,40.84873884,Mustard,7011.556634,6140.081509,Loamy-Tube Well
Ajmer,7.542263492,2.455107892,29.08235914,13.95400644,40.28370842,Maize,6188.138355,6255.226089,Chalky (Calcareous)-Tube Well
Ajmer,7.974071475,1.847022784,23.81760857,26.37220114,39.52329454,Fennel,8385.900627,8458.110409,Alkaline-Canal Irrigation
Jaipur,7.490063182,1.946367617,36.10141448,14.61660436,36.1874038,Garlic,10546.98189,11544.43824,Alkaline-Canal Irrigation
Ajmer,8.018151446,1.702232532,34.50266539,28.49717992,37.99102487,Bajra,8318.884321,8775.857827,Nitrogenous-Canal Irrigation
Udaipur,7.611640457,1.400803938,35.42099122,21.0515152,40.99196759,Pulses,12711.24546,12906.54273,Nitrogenous-Tube Well
Sri Ganganagar,7.704842672,1.701503206,37.46501552,19.1993493,43.09180283,Garlic,7218.003498,6720.685755,Sandy-Drip Irrigation
Jaipur,7.9511357,1.750063785,32.7151614,18.830511,39.01953395,Tomato,11539.31854,10755.33172,Nitrogenous-Canal Irrigation
Jodhpur,7.506249661,3.434201528,21.65700371,25.29364265,39.13599131,Fenugreek,14829.13403,15221.69012,Alkaline-Sprinkler Irrigation
Jodhpur,7.904632349,2.058415087,23.572045,24.40032981,32.83097088,Pulses,13077.09762,12960.93443,Alkaline-Drip Irrigation
Alwar,8.126270366,1.610490289,31.36210698,22.08732545,45.95542927,Sugarcane,9678.090296,8942.566803,Loamy-Tube Well
Alwar,6.901016785,2.443539888,31.43387056,19.26397361,42.82421179,Maize,6997.249191,6052.657539,Saline-Drip Irrigation
Jodhpur,8.113636911,1.394919749,32.19289645,13.14986686,45.32688136,Sugarcane,11078.01223,10538.36739,Alkaline-Tube Well
Ajmer,8.577464339,1.842351672,25.2948865,21.23041808,35.98859986,Oilseeds,12807.00621,13128.47439,Alkaline-Drip Irrigation
Alwar,7.735022094,1.646187053,26.43913068,19.44667316,35.51678886,Guava,10909.23647,10440.86774,Saline-Drip Irrigation
Kota,7.888468351,2.015238207,25.51373497,16.73524922,37.2510532,Barley,11739.96657,11617.91067,Chalky (Calcareous)-Sprinkler Irrigation
Ajmer,7.357452871,2.069322592,24.5693685,15.65869519,40.48906647,Bajra,15896.18643,16849.76939,Alkaline-Drip Irrigation
Alwar,7.050600095,2.27550853,26.33258967,18.49587022,31.86344136,Bajra,6679.606938,6995.530343,Saline-Tube Well
Udaipur,7.373161961,1.827417647,32.44627268,23.43176778,35.80553663,Barley,12064.057,11149.68607,Loamy-Canal Irrigation
